Version =  1.00
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
1936876886  538976288/538976288/538976288  538976288:808333600:1952671088  27604928905478602064189061233358119503952990063191363683293024013752038534946412783449211878110946359290265447995255147820649797911349890538391594505137953437459937023030225538212701227517097428739142466007457973988477752421881971998720.00      0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 2.094202
Extinction Coef Rayleigh  = -0.000000
Extinction Coef Oxygen2   = -0.000000
Extinction Coef Ozone     = 4.780663
Extinction Coef Dust      = 104.464105
Extinction Coef Water     = -0.000000
-------------------------------------------------------
Number of wavelengths      = 501
Responsivity normalization = 401890959920.327026
-------------------------------------------------------
Wave(nm)    WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  396.2000      15.923    0.197482    0.343763    0.138660    0.706413    0.788685
  396.8000      16.996    0.204916    0.059294    0.143485    0.707279    0.762700
  397.4000      17.355    0.212245    0.067444    0.148295    0.708144    0.769554
  398.0000      17.888    0.219466    0.311925    0.153086    0.709006    0.776639
  398.6000      18.062    0.226581    0.364544    0.157856    0.709866    0.763075
  399.2000      18.158    0.233585    0.141144    0.162605    0.710724    0.744470
  399.8000      17.890    0.240480    0.186652    0.167329    0.711580    0.726033
  400.4000      18.159    0.247264    0.131698    0.172027    0.712434    0.740562
  401.0000      18.771    0.253937    0.104897    0.176698    0.713286    0.712413
  401.6000      17.949    0.260497    0.289548    0.181339    0.714136    0.730138
  402.2000      31.047    0.266946    0.462612    0.185950    0.714985    0.725499
  402.8000      30.748    0.273283    0.824681    0.190529    0.715831    0.747719
  403.4000      30.975    0.279509    0.855696    0.195075    0.716675    0.731705
  404.0000      31.378    0.285624    0.439601    0.199587    0.717517    0.733217
  404.6000      31.260    0.291627    0.151718    0.204063    0.718357    0.734236
  405.2000      31.156    0.297520    0.023793    0.208504    0.719195    0.727799
  405.8000      31.947    0.303305    0.126470    0.212908    0.720031    0.731341
  406.4000      31.924    0.308981    0.117006    0.217274    0.720864    0.728832
  407.0000      31.911    0.314552    0.151715    0.221603    0.721696    0.684439
  407.6000      32.266    0.320017    0.291885    0.225894    0.722526    0.729174
  408.2000      32.566    0.325378    0.177869    0.230147    0.723354    0.686471
  408.8000      32.520    0.330638    0.246963    0.234361    0.724180    0.710591
  409.4000      32.229    0.335797    0.329710    0.238536    0.725004    0.710998
  410.0000      32.928    0.340858    0.204132    0.242674    0.725825    0.737988
  410.6000      33.038    0.345822    0.246213    0.246773    0.726645    0.768227
  411.2000      33.395    0.350694    0.290491    0.250834    0.727462    0.759312
  411.8000      33.007    0.355474    0.243258    0.254859    0.728278    0.716796
  412.4000      34.063    0.360165    0.379142    0.258846    0.729092    0.728481
  413.0000      34.097    0.364770    0.334490    0.262797    0.729903    0.745072
  413.6000      33.991    0.369290    0.352317    0.266712    0.730712    0.766112
  414.2000      33.884    0.373730    0.303062    0.270593    0.731520    0.728173
  414.8000      34.038    0.378091    0.338959    0.274440    0.732325    0.755036
  415.4000      34.556    0.382376    0.301655    0.278254    0.733128    0.774020
  416.0000      34.913    0.386588    0.266031    0.282035    0.733929    0.772502
  416.6000      34.969    0.390730    0.266815    0.285786    0.734728    0.737587
  417.2000      34.621    0.394805    0.347627    0.289507    0.735525    0.768907
  417.8000      34.791    0.398815    0.337477    0.293198    0.736320    0.739819
  418.4000      35.194    0.402763    0.242423    0.296862    0.737113    0.738438
  419.0000      35.919    0.406651    0.156444    0.300500    0.737903    0.730899
  419.6000      35.719    0.410485    0.066306    0.304111    0.738692    0.755313
  420.2000      35.785    0.414265    0.144305    0.307699    0.739478    0.759064
  420.8000      36.076    0.417995    0.218445    0.311263    0.740263    0.770017
  421.4000      35.902    0.421675    0.252784    0.314806    0.741045    0.746336
  422.0000      36.062    0.425311    0.361957    0.318328    0.741825    0.766829
  422.6000      35.962    0.428904    0.368050    0.321831    0.742603    0.698670
  423.2000      36.193    0.432457    0.297428    0.325315    0.743379    0.724604
  423.8000      36.929    0.435973    0.328170    0.328783    0.744153    0.741775
  424.4000      36.890    0.439453    0.253216    0.332234    0.744924    0.756867
  425.0000      37.353    0.442899    0.326167    0.335671    0.745694    0.731004
  425.6000      37.230    0.446314    0.375936    0.339094    0.746461    0.733879
  426.2000      37.446    0.449700    0.369012    0.342504    0.747226    0.722857
  426.8000      38.043    0.453060    0.401962    0.345903    0.747989    0.757816
  427.4000      38.542    0.456394    0.416473    0.349291    0.748750    0.752598
  428.0000      38.157    0.459705    0.392276    0.352670    0.749509    0.780653
  428.6000      38.472    0.462995    0.462254    0.356040    0.750265    0.783822
  429.2000      38.755    0.466266    0.377820    0.359402    0.751020    0.750162
  429.8000      38.132    0.469518    0.266751    0.362756    0.751772    0.748543
  430.4000      38.479    0.472754    0.221488    0.366105    0.752522    0.762556
  431.0000      38.351    0.475973    0.291047    0.369448    0.753269    0.750249
  431.6000      38.892    0.479179    0.375373    0.372786    0.754015    0.755130
  432.2000      38.990    0.482371    0.371555    0.376120    0.754758    0.722913
  432.8000      38.746    0.485552    0.357027    0.379449    0.755499    0.694003
  433.4000      39.280    0.488722    0.342402    0.382776    0.756238    0.743703
  434.0000      39.700    0.491881    0.367605    0.386100    0.756975    0.743034
  434.6000      39.090    0.495031    0.423313    0.389422    0.757709    0.756669
  435.2000      39.974    0.498173    0.438147    0.392742    0.758441    0.775317
  435.8000      40.211    0.501307    0.450892    0.396060    0.759171    0.736607
  436.4000      40.187    0.504434    0.428190    0.399377    0.759899    0.738354
  437.0000      40.403    0.507554    0.378499    0.402692    0.760624    0.765929
  437.6000      40.490    0.510666    0.384372    0.406007    0.761347    0.699738
  438.2000      41.005    0.513774    0.416695    0.409321    0.762068    0.731885
  438.8000      41.114    0.516875    0.422607    0.412635    0.762786    0.737923
  439.4000      40.662    0.519971    0.469125    0.415948    0.763502    0.759813
  440.0000      41.501    0.523062    0.421607    0.419260    0.764216    0.754352
  440.6000      41.552    0.526147    0.457028    0.422572    0.764927    0.735023
  441.2000      41.379    0.529228    0.431235    0.425883    0.765636    0.774119
  441.8000      41.248    0.532302    0.403071    0.429194    0.766343    0.733306
  442.4000      40.838    0.535372    0.433976    0.432505    0.767048    0.745292
  443.0000      41.765    0.538437    0.448322    0.435814    0.767750    0.774657
  443.6000      42.063    0.541497    0.420072    0.439123    0.768449    0.749202
  444.2000      42.168    0.544550    0.457452    0.442431    0.769146    0.788808
  444.8000      42.141    0.547600    0.445736    0.445737    0.769841    0.771770
  445.4000      42.689    0.550643    0.444974    0.449042    0.770534    0.764761
  446.0000      43.101    0.553680    0.472683    0.452346    0.771224    0.748566
  446.6000      43.385    0.556711    0.496657    0.455648    0.771911    0.749094
  447.2000      43.314    0.559735    0.510665    0.458949    0.772596    0.757050
  447.8000      43.420    0.562755    0.484775    0.462247    0.773279    0.774960
  448.4000      44.157    0.565766    0.437999    0.465543    0.773959    0.770881
  449.0000      44.079    0.568771    0.397095    0.468836    0.774637    0.770537
  449.6000      43.985    0.571770    0.458784    0.472126    0.775312    0.762760
  450.2000      44.375    0.574760    0.525783    0.475414    0.775985    0.780231
  450.8000      44.713    0.577742    0.491158    0.478698    0.776655    0.748850
  451.4000      44.940    0.580717    0.490596    0.481978    0.777323    0.766137
  452.0000      45.211    0.583684    0.472168    0.485255    0.777988    0.757904
  452.6000      45.067    0.586642    0.451390    0.488528    0.778650    0.752989
  453.2000      45.303    0.589592    0.471771    0.491797    0.779310    0.734922
  453.8000      45.952    0.592532    0.488240    0.495062    0.779968    0.756423
  454.4000      46.175    0.595464    0.466056    0.498322    0.780622    0.783963
  455.0000      46.427    0.598387    0.492539    0.501577    0.781274    0.757861
  455.6000      46.695    0.601300    0.546154    0.504827    0.781924    0.754216
  456.2000      47.206    0.604204    0.558747    0.508072    0.782571    0.766417
  456.8000      47.321    0.607097    0.524842    0.511312    0.783215    0.780492
  457.4000      47.306    0.609981    0.491718    0.514546    0.783856    0.785669
  458.0000      47.792    0.612856    0.476134    0.517775    0.784495    0.772790
  458.6000      48.035    0.615719    0.498684    0.520997    0.785131    0.772985
  459.2000      48.041    0.618572    0.474892    0.524215    0.785765    0.790701
  459.8000      48.136    0.621416    0.483414    0.527426    0.786395    0.762737
  460.4000      48.269    0.624249    0.540921    0.530631    0.787023    0.772699
  461.0000      48.378    0.627071    0.570727    0.533830    0.787648    0.730475
  461.6000      48.820    0.629883    0.573047    0.537022    0.788270    0.756989
  462.2000      48.851    0.632684    0.536913    0.540209    0.788889    0.764880
  462.8000      48.688    0.635475    0.535940    0.543389    0.789506    0.744980
  463.4000      49.339    0.638256    0.548677    0.546563    0.790120    0.736182
  464.0000      49.459    0.641026    0.552041    0.549730    0.790730    0.752519
  464.6000      49.680    0.643785    0.579716    0.552891    0.791338    0.770475
  465.2000      49.839    0.646534    0.599043    0.556046    0.791943    0.783572
  465.8000      49.809    0.649273    0.621138    0.559194    0.792545    0.755541
  466.4000      49.651    0.652001    0.598342    0.562336    0.793144    0.767814
  467.0000      49.940    0.654719    0.570000    0.565472    0.793740    0.760163
  467.6000      49.973    0.657428    0.575422    0.568602    0.794333    0.753523
  468.2000      50.068    0.660126    0.582486    0.571725    0.794923    0.798133
  468.8000      50.369    0.662814    0.583648    0.574843    0.795510    0.806165
  469.4000      50.678    0.665494    0.589355    0.577954    0.796094    0.771876
  470.0000      50.854    0.668163    0.613798    0.581060    0.796675    0.777842
  470.6000      51.047    0.670822    0.667216    0.584160    0.797253    0.769649
  471.2000      51.239    0.673473    0.626620    0.587254    0.797827    0.767577
  471.8000      51.477    0.676114    0.548206    0.590343    0.798399    0.762120
  472.4000      51.551    0.678747    0.583855    0.593426    0.798967    0.764911
  473.0000      51.631    0.681371    0.624961    0.596504    0.799532    0.798759
  473.6000      51.940    0.683986    0.593383    0.599576    0.800093    0.777470
  474.2000      51.689    0.686593    0.601136    0.602644    0.800652    0.766692
  474.8000      51.779    0.689192    0.628441    0.605706    0.801207    0.794570
  475.4000      52.135    0.691782    0.607429    0.608764    0.801759    0.767578
  476.0000      52.230    0.694364    0.586983    0.611818    0.802307    0.748842
  476.6000      51.737    0.696940    0.606884    0.614866    0.802852    0.773502
  477.2000      52.295    0.699507    0.625258    0.617911    0.803394    0.779823
  477.8000      52.241    0.702067    0.598484    0.620951    0.803932    0.774750
  478.4000      52.514    0.704620    0.594063    0.623987    0.804466    0.781976
  479.0000      52.462    0.707166    0.651341    0.627019    0.804998    0.766815
  479.6000      52.735    0.709705    0.676804    0.630047    0.805525    0.738642
  480.2000      52.789    0.712237    0.673819    0.633072    0.806049    0.777568
  480.8000      52.893    0.714762    0.640527    0.636093    0.806570    0.737231
  481.4000      53.423    0.717281    0.571310    0.639110    0.807087    0.711640
  482.0000      53.672    0.719793    0.595653    0.642124    0.807600    0.729684
  482.6000      53.914    0.722299    0.621850    0.645135    0.808109    0.752951
  483.2000      53.972    0.724799    0.628195    0.648142    0.808615    0.791013
  483.8000      53.941    0.727293    0.627393    0.651146    0.809117    0.756278
  484.4000      53.883    0.729781    0.653930    0.654148    0.809615    0.715063
  485.0000      54.137    0.732262    0.642104    0.657146    0.810109    0.776565
  485.6000      54.315    0.734737    0.617850    0.660141    0.810600    0.769908
  486.2000      54.366    0.737206    0.648364    0.663133    0.811086    0.779591
  486.8000      53.603    0.739670    0.692362    0.666123    0.811569    0.751598
  487.4000      54.612    0.742127    0.701892    0.669109    0.812048    0.789792
  488.0000      54.640    0.744578    0.701865    0.672092    0.812522    0.791687
  488.6000      54.797    0.747023    0.717027    0.675073    0.812993    0.801466
  489.2000      54.922    0.749462    0.693006    0.678051    0.813459    0.785745
  489.8000      54.992    0.751894    0.672596    0.681025    0.813922    0.801422
  490.4000      55.460    0.754320    0.668978    0.683997    0.814380    0.787197
  491.0000      55.681    0.756740    0.654922    0.686965    0.814834    0.771949
