Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)	WeightSum	DayResp	CumResp	SmoothResp	DayExtn	CumExtn
400.4000	1.599	151.391693	151.391693	151.391693	0.608319	0.608319
401.0000	1.597	160.036688	160.036688	160.036688	0.613982	0.613982
401.6000	1.595	167.231306	167.231306	167.231306	0.617333	0.617333
402.2000	1.594	175.270217	175.270217	175.270217	0.617824	0.617824
402.8000	1.592	184.419858	184.419858	184.419858	0.618439	0.618439
403.4000	1.590	192.170794	192.170794	192.170794	0.619973	0.619973
404.0000	1.588	200.733477	200.733477	200.733477	0.621979	0.621979
404.6000	1.586	211.156302	211.156302	211.156302	0.623043	0.623043
405.2000	1.583	221.656018	221.656018	221.656018	0.623564	0.623564
405.8000	1.579	230.780519	230.780519	230.780519	0.626107	0.626107
406.4000	1.575	240.899565	240.899565	240.899565	0.629156	0.629156
407.0000	1.570	250.973948	250.973948	250.973948	0.632403	0.632403
407.6000	1.566	262.215417	262.215417	262.215417	0.634971	0.634971
408.2000	1.562	273.999627	273.999627	273.999627	0.636372	0.636372
408.8000	1.557	283.723659	283.723659	283.723659	0.636182	0.636182
409.4000	1.551	296.527387	296.527387	296.527387	0.637698	0.637698
410.0000	1.545	306.466999	306.466999	306.466999	0.640013	0.640013
410.6000	1.538	317.328683	317.328683	317.328683	0.641822	0.641822
411.2000	1.532	328.827809	328.827809	328.827809	0.642404	0.642404
411.8000	1.525	339.035523	339.035523	339.035523	0.643619	0.643619
412.4000	1.518	350.817569	350.817569	350.817569	0.646117	0.646117
413.0000	1.511	361.994995	361.994995	361.994995	0.649009	0.649009
413.6000	1.505	371.329213	371.329213	371.329213	0.651806	0.651806
414.2000	1.498	382.282720	382.282720	382.282720	0.654013	0.654013
414.8000	1.491	392.969848	392.969848	392.969848	0.654418	0.654418
415.4000	1.484	402.396552	402.396552	402.396552	0.654842	0.654842
416.0000	1.478	411.998202	411.998202	411.998202	0.656799	0.656799
416.6000	1.471	421.971638	421.971638	421.971638	0.658615	0.658615
417.2000	1.464	430.302136	430.302136	430.302136	0.660298	0.660298
417.8000	1.457	441.478485	441.478485	441.478485	0.662501	0.662501
418.4000	1.451	449.979181	449.979181	449.979181	0.663490	0.663490
419.0000	1.445	459.753634	459.753634	459.753634	0.662739	0.662739
419.6000	1.439	468.003979	468.003979	468.003979	0.664145	0.664145
420.2000	1.434	478.861387	478.861387	478.861387	0.666700	0.666700
420.8000	1.429	488.192904	488.192904	488.192904	0.669708	0.669708
421.4000	1.424	498.731182	498.731182	498.731182	0.672265	0.672265
422.0000	1.418	507.891331	507.891331	507.891331	0.673874	0.673874
422.6000	1.412	519.517212	519.517212	519.517212	0.673666	0.673666
423.2000	1.407	529.783993	529.783993	529.783993	0.674943	0.674943
423.8000	1.402	539.845485	539.845485	539.845485	0.677289	0.677289
424.4000	1.397	550.584651	550.584651	550.584651	0.679298	0.679298
425.0000	1.391	562.142254	562.142254	562.142254	0.679669	0.679669
425.6000	1.385	572.793253	572.793253	572.793253	0.679942	0.679942
426.2000	1.379	583.436698	583.436698	583.436698	0.682255	0.682255
426.8000	1.374	595.574466	595.574466	595.574466	0.685140	0.685140
427.4000	1.369	606.223970	606.223970	606.223970	0.688043	0.688043
428.0000	1.364	618.585090	618.585090	618.585090	0.690212	0.690212
428.6000	1.358	629.482265	629.482265	629.482265	0.690352	0.690352
429.2000	1.352	641.444110	641.444110	641.444110	0.690072	0.690072
429.8000	1.347	654.697856	654.697856	654.697856	0.691936	0.691936
430.4000	1.341	666.424374	666.424374	666.424374	0.694051	0.694051
431.0000	1.337	677.206967	677.206967	677.206967	0.695655	0.695655
431.6000	1.332	689.904195	689.904195	689.904195	0.697145	0.697145
432.2000	1.327	701.164208	701.164208	701.164208	0.698012	0.698012
432.8000	1.321	713.107942	713.107942	713.107942	0.698022	0.698022
433.4000	1.316	726.316531	726.316531	726.316531	0.699346	0.699346
434.0000	1.310	739.112100	739.112100	739.112100	0.701240	0.701240
434.6000	1.304	752.149920	752.149920	752.149920	0.703502	0.703502
435.2000	1.299	763.840995	763.840995	763.840995	0.705577	0.705577
435.8000	1.294	775.677063	775.677063	775.677063	0.707461	0.707461
436.4000	1.289	787.478646	787.478646	787.478646	0.708090	0.708090
437.0000	1.284	801.154334	801.154334	801.154334	0.709047	0.709047
437.6000	1.279	813.335652	813.335652	813.335652	0.710316	0.710316
438.2000	1.273	826.191032	826.191032	826.191032	0.711404	0.711404
438.8000	1.267	839.121168	839.121168	839.121168	0.712690	0.712690
439.4000	1.261	852.310851	852.310851	852.310851	0.713993	0.713993
440.0000	1.256	863.256877	863.256877	863.256877	0.714160	0.714160
440.6000	1.251	877.246590	877.246590	877.246590	0.714688	0.714688
441.2000	1.246	890.011899	890.011899	890.011899	0.716202	0.716202
441.8000	1.241	901.408611	901.408611	901.408611	0.717767	0.717767
442.4000	1.236	913.908435	913.908435	913.908435	0.719522	0.719522
443.0000	1.232	925.445360	925.445360	925.445360	0.721248	0.721248
443.6000	1.228	937.011822	937.011822	937.011822	0.722729	0.722729
444.2000	1.224	948.662174	948.662174	948.662174	0.724230	0.724230
444.8000	1.220	961.502730	961.502730	961.502730	0.724350	0.724350
445.4000	1.215	972.552556	972.552556	972.552556	0.725123	0.725123
446.0000	1.211	983.646289	983.646289	983.646289	0.727172	0.727172
446.6000	1.206	994.072731	994.072731	994.072731	0.729078	0.729078
447.2000	1.201	1007.770656	1007.770656	1007.770656	0.730617	0.730617
447.8000	1.195	1019.656116	1019.656116	1019.656116	0.731660	0.731660
448.4000	1.190	1031.886668	1031.886668	1031.886668	0.731056	0.731056
449.0000	1.185	1043.770115	1043.770115	1043.770115	0.729873	0.729873
449.6000	1.181	1055.290691	1055.290691	1055.290691	0.731428	0.731428
450.2000	1.177	1066.788599	1066.788599	1066.788599	0.734045	0.734045
