Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     25.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1001
Responsivity normalization = 302172611547561.830
-------------------------------------------------------
Wave(nm)    WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  396.8000      13.996    1.848872    0.028061    0.128653    0.867277    0.766395
  397.4000      14.355    0.539818    0.037156    0.133826    0.927569    0.773648
  398.0000      14.888    0.544340    0.330325    0.138967    0.939518    0.781148
  398.6000      15.062    2.437689    0.391748    0.144076    0.890692    0.766622
  399.2000      15.158    1.234560    0.122763    0.149149    0.782775    0.746720
  399.8000      14.890    1.395421    0.175684    0.154186    0.878951    0.726997
  400.4000      15.159    1.473826    0.108751    0.159184    0.738049    0.742437
  401.0000      15.771    0.998263    0.076493    0.164142    0.791989    0.712355
  401.6000      14.949    0.574881    0.295171    0.169058    0.811742    0.731205
  402.2000      28.047    0.656215    0.483202    0.173932    0.871060    0.726200
  402.8000      27.748    1.481455    0.883677    0.178762    0.955297    0.749845
  403.4000      27.975    2.414499    0.916843    0.183548    0.833718    0.732707
  404.0000      28.378    1.602953    0.455560    0.188288    0.807164    0.734264
  404.6000      28.260   -0.214177    0.136770    0.192981    0.906993    0.735295
  405.2000      28.156   -0.025343   -0.005369    0.197627    0.825848    0.728373
  405.8000      28.947   -0.443814    0.108067    0.202226    0.927748    0.732095
  406.4000      28.924   -1.125755    0.097026    0.206777    0.955503    0.729363
  407.0000      28.911   -1.373020    0.134724    0.211281    0.772027    0.681955
  407.6000      29.266   -0.714550    0.288799    0.215736    0.806451    0.729617
  408.2000      29.566   -0.425875    0.162787    0.220143    0.633618    0.684012
  408.8000      29.520   -0.159034    0.238292    0.224503    0.803447    0.709685
  409.4000      29.229   -0.372568    0.328855    0.228815    0.892805    0.710064
