Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153s
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)  WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  399.2000       1.598    0.007231    0.007231    0.007231    0.605657    0.605657
  399.8000       1.599    0.006940    0.006940    0.006940    0.605528    0.605528
  400.4000       1.599    0.006605    0.006605    0.006605    0.608319    0.608319
  401.0000       1.597    0.006249    0.006249    0.006249    0.613982    0.613982
  401.6000       1.595    0.005980    0.005980    0.005980    0.617333    0.617333
  402.2000       1.594    0.005705    0.005705    0.005705    0.617824    0.617824
  402.8000       1.592    0.005422    0.005422    0.005422    0.618439    0.618439
  403.4000       1.590    0.005204    0.005204    0.005204    0.619973    0.619973
  404.0000       1.588    0.004982    0.004982    0.004982    0.621979    0.621979
  404.6000       1.586    0.004736    0.004736    0.004736    0.623043    0.623043
  405.2000       1.583    0.004511    0.004511    0.004511    0.623564    0.623564
  405.8000       1.579    0.004333    0.004333    0.004333    0.626107    0.626107
  406.4000       1.575    0.004151    0.004151    0.004151    0.629156    0.629156
  407.0000       1.570    0.003984    0.003984    0.003984    0.632403    0.632403
  407.6000       1.566    0.003814    0.003814    0.003814    0.634971    0.634971
  408.2000       1.562    0.003650    0.003650    0.003650    0.636372    0.636372
  408.8000       1.557    0.003525    0.003525    0.003525    0.636182    0.636182
  409.4000       1.551    0.003372    0.003372    0.003372    0.637698    0.637698
  410.0000       1.545    0.003263    0.003263    0.003263    0.640013    0.640013
  410.6000       1.538    0.003151    0.003151    0.003151    0.641822    0.641822
  411.2000       1.532    0.003041    0.003041    0.003041    0.642404    0.642404
  411.8000       1.525    0.002950    0.002950    0.002950    0.643619    0.643619
  412.4000       1.518    0.002850    0.002850    0.002850    0.646117    0.646117
  413.0000       1.511    0.002762    0.002762    0.002762    0.649009    0.649009
  413.6000       1.505    0.002693    0.002693    0.002693    0.651806    0.651806
  414.2000       1.498    0.002616    0.002616    0.002616    0.654013    0.654013
  414.8000       1.491    0.002545    0.002545    0.002545    0.654418    0.654418
  415.4000       1.484    0.002485    0.002485    0.002485    0.654842    0.654842
  416.0000       1.478    0.002427    0.002427    0.002427    0.656799    0.656799
  416.6000       1.471    0.002370    0.002370    0.002370    0.658615    0.658615
  417.2000       1.464    0.002324    0.002324    0.002324    0.660298    0.660298
  417.8000       1.457    0.002265    0.002265    0.002265    0.662501    0.662501
  418.4000       1.451    0.002222    0.002222    0.002222     0.66349     0.66349
  419.0000       1.445    0.002175    0.002175    0.002175    0.662739    0.662739
  419.6000       1.439    0.002137    0.002137    0.002137    0.664145    0.664145
  420.2000       1.434    0.002088    0.002088    0.002088      0.6667      0.6667
  420.8000       1.429    0.002048    0.002048    0.002048    0.669708    0.669708
  421.4000       1.424    0.002005    0.002005    0.002005    0.672265    0.672265
  422.0000       1.418    0.001969    0.001969    0.001969    0.673874    0.673874
  422.6000       1.412    0.001925    0.001925    0.001925    0.673666    0.673666
