Wavelength (nm)	Intensity
505.030492	20.469092
505.965492	1.740573
513.445492	2.454916
514.380492	14.917481
515.315492	27.816359
516.250492	34.641924
517.185492	7.472565
518.120492	104.564664
519.055492	90.875015
519.990492	75.901351
520.925492	78.172542
521.860492	74.945313
522.795492	72.166908
523.730492	32.359489
524.665492	21.634130
525.600492	3.164290
526.535492	4.927687
527.470492	13.854977
530.275492	2.830908
531.210492	8.754916
532.145492	13.014924
534.015492	16.860695
534.950492	38.209603
535.885492	40.624756
536.820492	37.924756
537.755492	30.580191
538.690492	10.277344
539.625492	15.320412
540.560492	34.413718
541.495492	6.587114
542.430492	75.272458
543.365492	24.611099
544.300492	5.417252
546.170492	10.151611
547.105492	0.553939
548.040492	2.578695
550.845492	53.348076
551.780492	5.507878
552.715492	18.569550
553.650492	50.144710
554.585492	38.647557
555.520492	10.177489
556.455492	9.109023
557.390492	77.963145
559.260492	0.524985
560.195492	30.114114
561.130492	73.113573
562.065492	42.982893
563.000492	29.885595
563.935492	21.628954
564.870492	1.734504
566.740492	28.063458
568.610492	4.997091
569.545492	77.390542
570.480492	47.345458
571.415492	24.862710
572.350492	1.056641
573.285492	18.489504
574.220492	43.398046
575.155492	31.918084
576.090492	59.117710
577.025492	73.817771
577.960492	35.376969
578.895492	39.467969
579.830492	56.445916
580.765492	77.598275
581.700492	74.034130
582.635492	44.954229
583.570492	7.186801
584.505492	39.334817
585.440492	75.270817
586.375492	62.300893
587.310492	37.320786
588.245492	61.797672
589.180492	56.225962
590.115492	64.699687
591.050492	5.450863
591.985492	10.801580
592.920492	30.277718
593.855492	24.299252
594.790492	32.557763
595.725492	18.928725
596.660492	3.177282
597.595492	53.393015
598.530492	26.323489
599.465492	46.245374
601.335492	33.860092
602.270492	59.188237
603.205492	120.844107
604.140492	85.224443
605.075492	33.203908
606.010492	66.347786
606.945492	64.329183
607.880492	67.605176
608.815492	56.033527
609.750492	23.326855
610.685492	12.871191
611.620492	19.005488
612.555492	67.130076
613.490492	32.003595
614.425492	23.859053
615.360492	73.098939
616.295492	37.448473
617.230492	87.683870
618.165492	84.129557
619.100492	83.670443
620.035492	74.499542
620.970492	44.521160
621.905492	72.059343
622.840492	78.226023
623.775492	35.646809
624.710492	25.235710
625.645492	36.958595
626.580492	69.535939
627.515492	85.914924
628.450492	65.256641
629.385492	70.609374
630.320492	49.065786
631.255492	36.762275
632.190492	82.956267
633.125492	88.464809
634.060492	66.490481
634.995492	121.139473
635.930492	178.828954
636.865492	145.363000
637.800492	73.072168
638.735492	80.909084
639.670492	114.156641
640.605492	130.289878
641.540492	150.398046
642.475492	119.807191
643.410492	81.062275
644.345492	125.061817
645.280492	130.262565
646.215492	128.547038
647.150492	134.850863
648.085492	128.398420
649.020492	106.642611
649.955492	120.946748
650.890492	166.126626
651.825492	136.612450
652.760492	108.355351
653.695492	58.679527
654.630492	91.363542
655.565492	95.057763
656.500492	89.993473
657.435492	105.302038
658.370492	155.907046
659.305492	129.153939
660.240492	129.026855
661.175492	116.461962
662.110492	94.373664
663.045492	94.300916
663.980492	150.976657
664.915492	92.836084
665.850492	89.894221
666.785492	79.218229
667.720492	74.143359
668.655492	63.442985
669.590492	63.210206
670.525492	82.077947
671.460492	84.995344
672.395492	67.779901
673.330492	88.867137
674.265492	65.604198
675.200492	49.901122
676.135492	36.266992
677.070492	41.230534
678.005492	47.587321
678.940492	48.263771
679.875492	62.217397
680.810492	29.812679
681.745492	46.840969
682.680492	63.938389
684.550492	30.274786
686.420492	5.352962
688.290492	7.788527
689.225492	26.797298
690.160492	19.868718
691.095492	14.270962
692.965492	14.235481
693.900492	2.830534
694.835492	9.826481
695.770492	4.469466
698.575492	0.430908
699.510492	6.951466
700.445492	33.633695
701.380492	79.347557
702.315492	41.630970
704.185492	27.311099
705.120492	15.595427
706.055492	31.539534
706.990492	32.572771
707.925492	55.541343
708.860492	81.921221
709.795492	45.026710
710.730492	55.212824
711.665492	37.559115
712.600492	30.994969
713.535492	21.711786
714.470492	46.441550
715.405492	11.246748
716.340492	55.808771
717.275492	28.486573
718.210492	28.686344
719.145492	18.520183
720.080492	42.459572
721.015492	76.079069
721.950492	82.577053
722.885492	120.360237
723.820492	87.101786
724.755492	22.313053
725.690492	29.406382
726.625492	49.972916
727.560492	46.334214
728.495492	62.685740
729.430492	41.670298
730.365492	69.311931
731.300492	84.052588
732.235492	78.948534
733.170492	68.373145
734.105492	73.822053
735.040492	63.980420
735.975492	51.870359
736.910492	19.936916
737.845492	55.084099
738.780492	62.172687
739.715492	42.713885
740.650492	78.181023
741.585492	87.040282
742.520492	83.671275
743.455492	114.506901
744.390492	106.520702
745.325492	102.376076
746.260492	135.005176
747.195492	123.753107
748.130492	84.961733
749.065492	62.116214
750.000492	107.160466
750.935492	90.531718
751.870492	30.198733
752.805492	67.585221
753.740492	80.171878
754.675492	114.485137
755.610492	74.353939
756.545492	68.240053
757.480492	29.727000
758.415492	6.682977
759.350492	44.300832
760.285492	53.265473
764.025492	4.036252
764.960492	74.763832
765.895492	28.822802
766.830492	18.477801
767.765492	46.361962
768.700492	40.337893
769.635492	72.202244
770.570492	49.940740
771.505492	85.413137
772.440492	188.346336
773.375492	384.372519
774.310492	290.498588
775.245492	367.552527
776.180492	403.658344
777.115492	331.388091
778.050492	406.058428
778.985492	352.822282
779.920492	360.696924
780.855492	334.728038
781.790492	212.841382
782.725492	68.311992
783.660492	14.593244
784.595492	4.473000
785.530492	33.120328
786.465492	24.060840
787.400492	22.573519
788.335492	29.720183
789.270492	29.478008
791.140492	65.367511
792.075492	22.795260
794.880492	10.101870
800.490492	3.607878
801.425492	3.801122
803.295492	8.035191
804.230492	29.711244
807.035492	9.185366
807.970492	0.214114
808.905492	44.491893
809.840492	14.267886
812.645492	13.504885
813.580492	48.095718
814.515492	20.796176
815.450492	25.179443
816.385492	19.654542
817.320492	48.230618
818.255492	97.909603
819.190492	96.170214
820.125492	73.011473
821.060492	57.241114
821.995492	71.742382
822.930492	48.708023
823.865492	25.894595
824.800492	33.385389
825.735492	89.004405
827.605492	14.641260
832.280492	6.712076
833.215492	3.410206
834.150492	12.349657
839.760492	29.090107
840.695492	59.159405
841.630492	21.367824
842.565492	57.240511
843.500492	59.891145
844.435492	47.790023
845.370492	46.745084
846.305492	40.951092
847.240492	53.940657
848.175492	26.426023
849.110492	1.743298
850.045492	45.099916
850.980492	1.181168
851.915492	2.565351
852.850492	34.951153
854.720492	6.068198
855.655492	24.975160
856.590492	6.382687
857.525492	73.267886
858.460492	37.655809
859.395492	13.313802
862.200492	1.260321
863.135492	36.187405
864.070492	68.659863
865.005492	60.740137
865.940492	77.608107
866.875492	106.660321
867.810492	126.844107
868.745492	115.192954
869.680492	128.076283
870.615492	85.005259
871.550492	113.453481
872.485492	85.691603
873.420492	90.593908
874.355492	17.835481
875.290492	5.024382
879.965492	0.683122
880.900492	4.875992
881.835492	0.617107
882.770492	7.067137
890.250492	0.706901
922.040492	4.691977
922.975492	14.317397
