302,0.3008,,,,,,,501
303,0.2228,,,,,,, 350.000     9.245691e+11     1.026208e+12
304,0.2203,,,,,,, 350.600    -2.113322e+12    -4.138308e+11
305,0.218,,,,,,, 351.200    -2.606980e+12    -4.230506e+11
306,0.2187,,,,,,, 351.800    -1.470656e+12     3.937612e+11
307,0.2191,,,,,,, 352.400     2.402905e+11     6.931075e+11
308,0.2117,,,,,,, 353.000    -1.087975e+12    -6.222455e+10
309,0.2759,,,,,,, 353.600    -3.669592e+12     5.273488e+10
310,0.2907,,,,,,, 354.200     4.296595e+11     2.586368e+11
311,0.2919,,,,,,, 354.800     1.016722e+12    -4.970089e+10
312,0.2913,,,,,,, 355.400     2.629219e+12    -8.416628e+10
313,0.2914,,,,,,, 356.000     2.750585e+12    -4.983039e+10
314,0.2914,,,,,,, 356.600    -3.826701e+11    -1.121840e+11
315,0.2914,,,,,,, 357.200    -5.427089e+12    -9.103981e+11
316,0.2914,,,,,,, 357.800    -3.965716e+12    -1.360283e+12
317,0.2914,,,,,,, 358.400    -3.996767e+11    -9.507119e+11
318,0.2914,,,,,,, 359.000     1.610863e+12    -2.116502e+11
319,0.2914,,,,,,, 359.600     4.357704e+12    -6.363847e+11
320,0.2914,,,,,,, 360.200     2.354201e+12    -5.804754e+11
321,0.2914,,,,,,, 360.800    -6.027019e+11    -5.552665e+11
322,0.2914,,,,,,, 361.400     2.915072e+11    -2.216972e+11
323,0.2914,,,,,,, 362.000     1.540868e+11     1.814965e+10
324,0.2914,,,,,,, 362.600    -5.682156e+11    -1.876183e+11
325,0.2914,,,,,,, 363.200     2.468190e+11    -1.938898e+11
326,0.2914,,,,,,, 363.800    -3.280120e+11     2.252653e+11
327,0.2914,,,,,,, 364.400     2.497492e+08     2.430144e+11
328,0.2914,,,,,,, 365.000    -4.233651e+11     8.107559e+10
329,0.2914,,,,,,, 365.600    -3.284343e+11     9.282023e+10
330,0.2914,,,,,,, 366.200    -5.341978e+11     1.332856e+11
331,0.2914,,,,,,, 366.800    -7.026494e+11     6.784049e+10
332,0.2914,,,,,,, 367.400    -1.535050e+12    -4.707229e+10
333,0.2914,,,,,,, 368.000    -2.060859e+12     4.128825e+10
334,0.2914,,,,,,, 368.600    -2.068118e+12     2.928609e+11
335,0.2914,,,,,,, 369.200    -1.203666e+12     9.414861e+08
336,0.2914,,,,,,, 369.800    -6.952060e+11    -1.664814e+11
337,0.2914,,,,,,, 370.400    -5.375652e+11    -5.075821e+09
338,0.2914,,,,,,, 371.000    -7.122702e+11     4.118449e+10
339,0.2914,,,,,,, 371.600     6.389155e+10     1.428099e+11
340,0.2914,,,,,,, 372.200    -3.018627e+11     3.439251e+11
341,0.2914,,,,,,, 372.800    -5.943267e+10     2.401614e+11
