Wavelength (nm)	Intensity
413.346597	57.835665
414.281597	0.748454
417.086597	47.260813
418.021597	25.585189
418.956597	21.754062
419.891597	6.265009
420.826597	88.728869
421.761597	54.115612
422.696597	76.204506
423.631597	90.093192
424.566597	104.554743
425.501597	138.372106
426.436597	142.230595
427.371597	126.992699
428.306597	117.214410
429.241597	114.246635
430.176597	202.241485
431.111597	127.175633
432.046597	144.683757
432.981597	87.184427
433.916597	40.271031
434.851597	59.606480
435.786597	87.853925
436.721597	236.980488
437.656597	469.822439
438.591597	427.207263
439.526597	342.503979
440.461597	331.020343
441.396597	257.358705
442.331597	246.905889
443.266597	199.773182
444.201597	143.166366
445.136597	162.941795
446.071597	162.623393
447.006597	164.384350
447.941597	179.158399
448.876597	194.035810
449.811597	137.152009
450.746597	37.946128
451.681597	51.946264
452.616597	50.028985
453.551597	31.181755
454.486597	16.971084
455.421597	32.798862
456.356597	40.478074
457.291597	79.385238
458.226597	81.036452
459.161597	105.020213
460.096597	136.799980
461.031597	162.693037
461.966597	91.402259
462.901597	93.960502
463.836597	76.785246
464.771597	79.725957
465.706597	70.909590
466.641597	76.294907
467.576597	42.563681
468.511597	88.076784
469.446597	108.925639
470.381597	106.002564
471.316597	141.201015
472.251597	116.951800
473.186597	81.137548
474.121597	107.699938
475.056597	81.390332
475.991597	66.478221
476.926597	96.899528
477.861597	75.934463
478.796597	78.352903
479.731597	72.286705
480.666597	71.748562
481.601597	89.640785
482.536597	76.436302
483.471597	87.554256
484.406597	83.270364
485.341597	109.706505
486.276597	90.393799
487.211597	131.820756
488.146597	178.516410
489.081597	210.565700
490.016597	151.806133
490.951597	168.079840
491.886597	198.099189
492.821597	188.510519
493.756597	144.537384
494.691597	251.622705
495.626597	317.493694
496.561597	340.942616
497.496597	212.224125
498.431597	259.980286
499.366597	288.748529
500.301597	215.276873
501.236597	171.056064
502.171597	186.335981
503.106597	217.091776
504.041597	261.077238
504.976597	175.485391
505.911597	169.636357
506.846597	188.010508
507.781597	174.071860
508.716597	208.554310
509.651597	248.561034
510.586597	336.919569
511.521597	359.982528
512.456597	389.978641
513.391597	373.179010
514.326597	350.171557
515.261597	582.975202
516.196597	1098.245901
517.131597	1698.459178
518.066597	2100.318059
519.001597	2054.259084
519.936597	1839.809386
520.871597	1772.486034
521.806597	1598.280307
522.741597	1372.761973
523.676597	990.758874
524.611597	822.612178
525.546597	700.641416
526.481597	689.341601
527.416597	710.511792
528.351597	579.815968
529.286597	408.794624
530.221597	327.251469
531.156597	333.369594
532.091597	485.392401
533.026597	543.556957
533.961597	551.620656
534.896597	478.283606
535.831597	474.656806
536.766597	539.074052
537.701597	590.146394
538.636597	592.690802
539.571597	598.206795
540.506597	669.683972
541.441597	697.086303
542.376597	675.107807
