G0V star - 0.93 max
wl,Response
702.0,0.9725
703.0,0.9701
704.0,0.9683
705.0,0.9665
706.0,0.9646
707.0,0.9637
708.0,0.9612
709.0,0.9595
710.0,0.9579
711.0,0.9562
712.0,0.9546
713.0,0.9521
714.0,0.9496
715.0,0.9479
716.0,0.9461
717.0,0.9444
718.0,0.9428
719.0,0.9406
720.0,0.9384
721.0,0.9366
722.0,0.9348
723.0,0.9329
724.0,0.9310
725.0,0.9293
726.0,0.9267
727.0,0.9250
728.0,0.9228
729.0,0.9205
730.0,0.9188
731.0,0.9162
732.0,0.9144
733.0,0.9126
734.0,0.9107
735.0,0.9083
736.0,0.9066
737.0,0.9044
738.0,0.9021
739.0,0.9003
740.0,0.8978
741.0,0.8960
742.0,0.8941
743.0,0.8916
744.0,0.8898
745.0,0.8876
746.0,0.8855
747.0,0.8837
748.0,0.8820
749.0,0.8793
750.0,0.8774
751.0,0.8750
752.0,0.8726
753.0,0.8704
754.0,0.8681
755.0,0.8664
756.0,0.8645
757.0,0.8618
758.0,0.8592
759.0,0.8573
760.0,0.8553
761.0,0.8536
762.0,0.8514
763.0,0.8486
764.0,0.8461
765.0,0.8444
766.0,0.8425
767.0,0.8400
768.0,0.8372
769.0,0.8351
770.0,0.8335
771.0,0.8312
772.0,0.8288
773.0,0.8269
774.0,0.8242
775.0,0.8215
776.0,0.8197
777.0,0.8173
778.0,0.8145
779.0,0.8124
780.0,0.8103
781.0,0.8076
782.0,0.8051
783.0,0.8032
784.0,0.8006
785.0,0.7987
786.0,0.7963
787.0,0.7941
788.0,0.7920
789.0,0.7892
790.0,0.7868
791.0,0.7849
792.0,0.7823
793.0,0.7798
794.0,0.7775
795.0,0.7760
796.0,0.7732
797.0,0.7703
798.0,0.7684
799.0,0.7657
800.0,0.7631
801.0,0.7611
802.0,0.7595
803.0,0.7561
804.0,0.7539
805.0,0.7519
806.0,0.7491
807.0,0.7466
808.0,0.7448
809.0,0.7422
810.0,0.7393
811.0,0.7376
812.0,0.7348
813.0,0.7321
814.0,0.7301
815.0,0.7273
816.0,0.7248
817.0,0.7229
818.0,0.7212
819.0,0.7180
820.0,0.7156
821.0,0.7135
822.0,0.7107
823.0,0.7084
824.0,0.7065
825.0,0.7038
826.0,0.7012
827.0,0.6993
828.0,0.6969
829.0,0.6941
830.0,0.6920
831.0,0.6899
832.0,0.6872
833.0,0.6847
834.0,0.6828
835.0,0.6803
836.0,0.6776
837.0,0.6756
838.0,0.6734
839.0,0.6706
840.0,0.6690
841.0,0.6663
842.0,0.6637
843.0,0.6610
844.0,0.6592
845.0,0.6568
846.0,0.6540
847.0,0.6518
848.0,0.6498
849.0,0.6463
850.0,0.6446
851.0,0.6419
852.0,0.6392
853.0,0.6358
854.0,0.6332
855.0,0.6301
856.0,0.6276
857.0,0.6240
858.0,0.6203
859.0,0.6186
860.0,0.6150
861.0,0.6115
862.0,0.6079
863.0,0.6052
864.0,0.6026
865.0,0.5990
866.0,0.5954
867.0,0.5919
868.0,0.5884
869.0,0.5848
870.0,0.5813
871.0,0.5777
872.0,0.5742
873.0,0.5707
874.0,0.5671
875.0,0.5636
876.0,0.5592
877.0,0.5557
878.0,0.5521
879.0,0.5486
880.0,0.5447
881.0,0.5398
882.0,0.5363
883.0,0.5328
884.0,0.5292
885.0,0.5248
886.0,0.5204
887.0,0.5170
888.0,0.5124
889.0,0.5086
890.0,0.5047
891.0,0.5002
892.0,0.4959
893.0,0.4915
894.0,0.4879
895.0,0.4834
896.0,0.4793
897.0,0.4748
898.0,0.4704
899.0,0.4669
900.0,0.4626
901.0,0.4582
902.0,0.4546
903.0,0.4494
904.0,0.4457
905.0,0.4406
906.0,0.4371
907.0,0.4331
908.0,0.4284
909.0,0.4240
910.0,0.4196
911.0,0.4160
912.0,0.4108
913.0,0.4074
914.0,0.4025
915.0,0.3986
916.0,0.3945
917.0,0.3898
918.0,0.3855
919.0,0.3810
920.0,0.3765
921.0,0.3719
922.0,0.3670
923.0,0.3610
924.0,0.3546
925.0,0.3491
926.0,0.3431
927.0,0.3377
928.0,0.3323
929.0,0.3270
930.0,0.3220
931.0,0.3160
932.0,0.3102
933.0,0.3057
934.0,0.3004
935.0,0.2960
936.0,0.2907
937.0,0.2863
938.0,0.2809
939.0,0.2769
940.0,0.2719
941.0,0.2683
942.0,0.2628
943.0,0.2594
944.0,0.2549
945.0,0.2505
946.0,0.2462
947.0,0.2426
948.0,0.2392
949.0,0.2341
950.0,0.2304
951.0,0.2268
952.0,0.2233
953.0,0.2197
954.0,0.2162
955.0,0.2126
956.0,0.2091
957.0,0.2060
958.0,0.2028
959.0,0.1993
960.0,0.1958
961.0,0.1922
962.0,0.1903
963.0,0.1868
964.0,0.1832
965.0,0.1811
966.0,0.1778
967.0,0.1752
968.0,0.1723
969.0,0.1698
970.0,0.1663
971.0,0.1643
972.0,0.1610
973.0,0.1589
974.0,0.1573
975.0,0.1540
976.0,0.1523
977.0,0.1498
978.0,0.1479
979.0,0.1462
980.0,0.1437
981.0,0.1419
982.0,0.1412
983.0,0.1394
984.0,0.1382
985.0,0.1371
986.0,0.1355
987.0,0.1345
988.0,0.1327
989.0,0.1318
990.0,0.1310
991.0,0.1296
992.0,0.1287
993.0,0.1271
994.0,0.1263
995.0,0.1262
996.0,0.1245
997.0,0.1234
998.0,0.1229
999.0,0.1216
1000,0.1213
1001,0.1204
1002,0.1195
1003,0.1187
1004,0.1179
1005,0.1168
1006,0.1163
1007,0.1153
1008,0.1144
1009,0.1140
1010,0.1129
1011,0.1120
1012,0.1112
1013,0.1103
1014,0.1093
1015,0.1085
1016,0.1070
1017,0.1062
1018,0.1053
1019,0.1037
1020,0.1029
1021,0.1019
1022,0.1003
1023,0.09912
1024,0.09836
1025,0.09653
1026,0.09531
1027,0.09378
1028,0.09198
1029,0.09108
1030,0.09019
1031,0.08932
1032,0.08777
1033,0.08690
1034,0.08547
1035,0.08472
1036,0.08361
1037,0.08193
1038,0.08099
1039,0.08016
1040,0.07855
1041,0.07727
1042,0.07654
1043,0.07525
1044,0.07365
1045,0.07282
1046,0.07188
1047,0.07019
1048,0.06909
1049,0.06834
1050,0.06697
1051,0.06504
1052,0.06461
1053,0.06276
1054,0.06189
1055,0.06099
1056,0.05932
1057,0.05823
1058,0.05682
1059,0.05543
1060,0.05469
1061,0.05355
1062,0.05268
1063,0.05096
1064,0.05010
1065,0.04845
1066,0.04723
1067,0.04649
1068,0.04515
1069,0.04359
1070,0.04279
1071,0.04180
1072,0.04004
1073,0.03920
1074,0.03760
1075,0.03641
1076,0.03514
