G0V star - 0.93 max
wl,Response
672.0,0.9150
673.0,0.9131
674.0,0.9118
675.0,0.9100
676.0,0.9082
677.0,0.9067
678.0,0.9047
679.0,0.9028
680.0,0.9011
681.0,0.8992
682.0,0.8969
683.0,0.8951
684.0,0.8931
685.0,0.8908
686.0,0.8886
687.0,0.8864
688.0,0.8841
689.0,0.8816
690.0,0.8790
691.0,0.8766
692.0,0.8738
693.0,0.8716
694.0,0.8692
695.0,0.8662
696.0,0.8631
697.0,0.8604
698.0,0.8578
699.0,0.8552
700.0,0.8520
701.0,0.8493
702.0,0.8460
703.0,0.8431
704.0,0.8399
705.0,0.8368
706.0,0.8332
707.0,0.8305
708.0,0.8269
709.0,0.8235
710.0,0.8207
711.0,0.8170
712.0,0.8134
713.0,0.8099
714.0,0.8066
715.0,0.8030
716.0,0.7994
717.0,0.7957
718.0,0.7916
719.0,0.7880
720.0,0.7839
721.0,0.7798
722.0,0.7757
723.0,0.7716
724.0,0.7678
725.0,0.7633
726.0,0.7592
727.0,0.7549
728.0,0.7505
729.0,0.7460
730.0,0.7418
731.0,0.7372
732.0,0.7326
733.0,0.7279
734.0,0.7233
735.0,0.7188
736.0,0.7142
737.0,0.7093
738.0,0.7044
739.0,0.6994
740.0,0.6944
741.0,0.6896
742.0,0.6841
743.0,0.6796
744.0,0.6742
745.0,0.6689
746.0,0.6638
747.0,0.6583
748.0,0.6531
749.0,0.6475
750.0,0.6421
751.0,0.6366
752.0,0.6311
753.0,0.6257
754.0,0.6203
755.0,0.6143
756.0,0.6084
757.0,0.6025
758.0,0.5971
759.0,0.5910
760.0,0.5852
761.0,0.5795
762.0,0.5730
763.0,0.5674
764.0,0.5611
765.0,0.5553
766.0,0.5491
767.0,0.5433
768.0,0.5370
769.0,0.5309
770.0,0.5249
771.0,0.5186
772.0,0.5127
773.0,0.5068
774.0,0.5008
775.0,0.4948
776.0,0.4885
777.0,0.4825
778.0,0.4766
779.0,0.4704
780.0,0.4643
781.0,0.4574
782.0,0.4511
783.0,0.4438
784.0,0.4360
785.0,0.4288
786.0,0.4216
787.0,0.4137
788.0,0.4061
789.0,0.3984
790.0,0.3904
791.0,0.3829
792.0,0.3747
793.0,0.3666
794.0,0.3587
795.0,0.3505
796.0,0.3423
797.0,0.3340
798.0,0.3259
799.0,0.3176
800.0,0.3094
801.0,0.3010
802.0,0.2923
803.0,0.2838
804.0,0.2752
805.0,0.2668
806.0,0.2581
807.0,0.2494
808.0,0.2412
809.0,0.2318
810.0,0.2237
811.0,0.2146
812.0,0.2063
813.0,0.1976
814.0,0.1888
815.0,0.1802
816.0,0.1714
817.0,0.1628
818.0,0.1539
819.0,0.1455
820.0,0.1371
821.0,0.1289
822.0,0.1203
823.0,0.1129
824.0,0.1051
825.0,0.09793
826.0,0.09014
827.0,0.08289
828.0,0.07613
829.0,0.06926
830.0,0.06363
831.0,0.05779
832.0,0.05168
833.0,0.04693
834.0,0.04192
835.0,0.03735
836.0,0.03319
837.0,0.02909
838.0,0.02596
839.0,0.02263
840.0,0.02028
841.0,0.01704
842.0,0.01517
843.0,0.01315
844.0,0.01162
845.0,0.01123
846.0,0.01040
847.0,0.009760
848.0,0.009275
849.0,0.008785
850.0,0.008547
851.0,0.008312
852.0,0.007806
853.0,0.007487
854.0,0.007317
855.0,0.007321
856.0,0.006835
857.0,0.006877
858.0,0.006337
859.0,0.006341
